Imagem,max_bits,Tempo (s),Bits da Original,Bits da Comprimida,Taxa de Compressão,Qtd. Códigos LZW,Qtd. Resets
Lena,9,1.3847311999998055,6291456,6599580,0.9533115743729147,733604,2853
Lena,10,1.214893899999879,6291456,6634482,0.9482964909694532,686499,891
Lena,11,1.078751299999567,6291456,6506914,0.9668878365381808,624109,346
Lena,12,1.0116041000001132,6291456,6303876,0.9980297835807684,559868,144
Lena,13,0.9703073000018776,6291456,6081148,1.0345836016488992,500820,62
Lena,14,0.8860516999993706,6291456,5881568,1.0696902594682234,449697,26
Lena,15,0.8992018999997526,6291456,5723108,1.0993075790287374,409407,12
Lena,16,0.8479814999991504,6291456,5598208,1.1238339125663068,373603,3
Lena,17,0.829680400001962,6291456,5508796,1.142074602145369,346727,0
Lena,18,0.7871043999984977,6291456,5508796,1.142074602145369,346727,0
Lena,19,0.8236322000011569,6291456,5508796,1.142074602145369,346727,0
Lena,20,0.782556599999225,6291456,5508796,1.142074602145369,346727,0
Lena,21,0.766985799997201,6291456,5508796,1.142074602145369,346727,0
Lena,22,0.7726887999997416,6291456,5508796,1.142074602145369,346727,0
Lena,23,0.7718223999982001,6291456,5508796,1.142074602145369,346727,0
Lena,24,0.7655139000016788,6291456,5508796,1.142074602145369,346727,0
Lena,25,0.7761298000004899,6291456,5508796,1.142074602145369,346727,0
Lena,26,0.8006463000019721,6291456,5508796,1.142074602145369,346727,0
Lena,27,0.7861717999985558,6291456,5508796,1.142074602145369,346727,0
Lena,28,0.772284499998932,6291456,5508796,1.142074602145369,346727,0
Lena,29,0.792398099998536,6291456,5508796,1.142074602145369,346727,0
Lena,30,0.7719883999998274,6291456,5508796,1.142074602145369,346727,0
