Lena,Tempo (s),Bits da Original,Bits da Comprimida,Taxa de Compressão
RGB,0.22061930000018037,6291456,5669544,1.1096934779939973
Binária,0.04183180000018183,2097152,417528,5.022781705658064
Pancromática,0.06953750000047876,2097152,1908960,1.0985835219176934
